State,Incarc_rate_2,Incarc_rate,GDPPC,Gini,HSD,Health,Poverty,LFP,Unemp,V_part,W_gap,D_cont,G_cont,Corrup,Conserv,Religion,Violent Crime Rate,Property Crime Rate,Total Crime Rate,,,,,
Oklahoma,0.00704717,700,46137,0.466,0.860,-0.74,0.166,0.576,0.045,0.3000,0.783,1,1,0.31,0.248,0.39,405.977,2990.729,3396.706,,,,,
Oregon,0.003682699,378,43588,0.4624,0.890,0.41,0.164,0.573,0.068,0.5340,0.822,0,1,-0.665,0.063,0.24,232.329,2879.046,3111.374,,,,,
Pennsylvania,0.003965355,394,48264,0.4686,0.890,0.01,0.136,0.604,0.059,0.3650,0.788,1,0,0.364,0.12,0.32,314.095,1931.743,2245.838,,,,,
Rhode Island,0.003179589,178,48203,0.4827,0.860,0.37,0.148,0.627,0.077,0.4240,0.784,0,0,1.36,0.039,0.28,219.206,2173.577,2392.783,,,,,
South Carolina,0.004313745,429,47852,0.4687,0.850,-0.64,0.179,0.548,0.065,0.3520,0.795,1,1,-0.418,0.246,0.42,497.715,3460.272,3957.987,,,,,
South Dakota,0.00416891,421,35962,0.4468,0.900,0.34,0.141,0.651,0.034,0.4470,0.787,1,1,-1.897,0.233,0.31,326.545,1863.861,2190.406,,,,,
Tennessee,0.004325389,437,46917,0.4811,0.850,-0.71,0.182,0.559,0.066,0.2980,0.902,1,1,-0.487,0.264,0.42,608.427,3060.562,3668.989,,,,,
Texas,0.005959351,584,41955,0.4827,0.820,-0.11,0.172,0.599,0.051,0.2830,0.818,1,1,-0.13,0.209,0.39,405.884,3019.384,3425.268,,,,,
Utah,0.002302688,237,52742,0.4283,0.900,0.73,0.118,0.627,0.038,0.3030,0.732,1,1,0.05,0.272,0.51,215.637,2878.485,3094.123,,,,,
Vermont,0.003168458,241,43154,0.4406,0.910,0.85,0.120,0.659,0.04,0.4080,0.892,0,1,-1.414,-0.032,0.17,99.272,1524.35,1623.622,,,,,
Virginia,0.00446325,449,43435,0.4658,0.880,0.3,0.118,0.618,0.052,0.3680,0.836,1,1,-0.407,0.154,0.35,196.246,1930.272,2126.518,,,,,
Washington,0.002486279,254,51101,0.4542,0.890,0.4,0.132,0.589,0.061,0.4310,0.810,0,0,0.197,0.047,0.24,285.151,3706.081,3991.231,,,,,
West Virginia,0.003766038,372,54662,0.4546,0.850,-0.71,0.183,0.518,0.066,0.3200,0.773,1,1,0.263,0.217,0.34,302.001,2034.668,2336.669,,,,,
Wisconsin,0.003910389,371,36337,0.4397,0.900,0.23,0.132,0.653,0.054,0.5690,0.814,1,0,-0.392,0.149,0.29,290.296,2088.348,2378.645,,,,,
Wyoming,0.004070019,408,46676,0.427,0.920,0.21,0.112,0.657,0.041,0.3970,0.677,1,1,-0.148,0.288,0.28,195.497,1964.725,2160.222,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
